;Grasa (% P/P);Proteina (% P/P);Extracto (% P/P);Lactosa (% P/P);Celulas (/ml*1000);Bacterias (ufc/ml*1000);Inhb.;PC 1;Urea (mg/l);Probabilidad Patogeno
47;4.0;3.16;8.79;4.89;208;53;N;521;169;0.0
48;4.0;3.23;8.9;5.01;191;52;N;519;107;0.0
49;4.0;3.29;8.95;4.99;313;52;N;521;153;0.0
50;4.0;3.14;8.6;4.82;328;52;N;521;129;0.0
51;4.0;3.14;8.6;4.82;327;51;N;520;128;2.95
52;4.0;3.16;8.79;4.89;206;51;N;519;167;0.0
53;4.0;3.37;8.82;4.76;298;51;N;521;283;0.0
54;4.0;3.16;8.79;4.89;205;50;N;518;166;0.0
55;4.0;3.37;8.82;4.76;296;49;N;519;281;0.0
56;4.0;3.37;8.82;4.76;296;49;N;519;281;0.0
57;4.0;3.37;8.82;4.76;295;48;N;518;280;0.0
58;4.0;3.46;9.08;4.93;469;45;N;525;167;0.0
59;4.0;3.5;9.16;5.02;420;37;N;525;164;0.0
60;4.0;3.5;9.16;5.02;420;37;N;525;164;0.0
61;4.0;2.98;8.47;4.6;706;35;N;522;158;0.0
62;4.0;3.03;8.57;4.78;239;34;N;530;161;0.0
63;4.0;3.03;8.57;4.78;239;34;N;530;161;0.0
64;4.0;3.58;9.18;5.05;873;29;N;524;198;0.0
65;4.0;3.37;8.79;4.76;291;29;N;526;287;0.0
66;4.0;3.37;8.79;4.76;290;28;N;525;286;0.0
67;4.0;3.16;8.53;4.8;564;28;N;528;172;0.0
68;4.0;3.03;8.52;4.71;461;27;N;530;143;0.0
69;4.0;3.03;8.52;4.71;459;25;N;528;141;0.0
70;4.0;3.11;8.52;4.73;658;25;N;525;209;0.0
71;4.0;3.37;8.79;4.76;287;25;N;522;283;0.0
72;4.0;3.39;8.85;4.79;536;25;N;529;211;0.0
73;4.0;3.39;8.85;4.79;535;24;N;528;210;0.0
74;4.0;3.17;8.64;4.87;300;23;N;525;163;0.0
75;4.0;3.11;8.52;4.73;655;22;N;522;206;0.0
76;4.0;3.45;9.02;4.82;433;22;N;532;254;0.0
77;4.0;3.11;8.52;4.73;655;22;N;522;206;0.0
78;4.0;3.26;8.9;4.9;143;22;N;524;126;0.0
79;4.0;3.1;8.61;4.72;635;21;N;527;163;0.0
80;4.0;3.25;8.8;4.87;240;21;N;523;173;0.0
81;4.0;3.38;8.88;4.87;269;21;N;522;234;0.0
82;4.0;3.49;9.17;5.01;492;21;N;523;213;0.0
83;4.0;3.38;8.88;4.87;269;21;N;522;234;0.0
84;4.0;3.1;8.61;4.72;635;21;N;527;163;0.0
85;4.0;3.28;8.73;4.71;404;21;N;521;236;0.0
86;4.0;3.25;8.8;4.87;240;21;N;523;173;0.0
87;4.0;3.11;8.56;4.84;279;20;N;522;145;0.0
88;4.0;3.1;8.61;4.72;634;20;N;526;162;0.0
89;4.0;3.45;9.02;4.82;431;20;N;530;252;0.0
90;4.0;3.04;8.52;4.74;212;20;N;526;145;0.0
91;4.0;3.08;8.58;4.72;565;20;N;525;205;0.0
92;4.0;3.08;8.58;4.72;565;20;N;525;205;0.0
93;4.0;3.1;8.61;4.72;634;20;N;526;162;0.0
94;4.0;2.95;8.34;4.52;473;20;N;527;181;0.0
95;4.0;3.1;8.61;4.72;633;19;N;525;161;0.0
96;4.0;3.26;8.9;4.9;140;19;N;521;123;0.0
97;4.0;3.05;8.5;4.75;246;19;N;521;156;0.0
98;4.0;3.4;8.89;4.87;279;19;N;522;275;0.0
99;4.0;3.14;8.64;4.89;233;19;N;534;182;0.0
100;4.0;3.05;8.5;4.75;246;19;N;521;156;0.0
101;4.0;3.38;8.88;4.87;267;19;N;520;232;0.0
102;4.0;3.2;8.77;4.75;118;19;N;524;200;0.0
103;4.0;3.26;8.86;4.83;77;19;N;529;272;0.0
104;4.0;3.02;8.48;4.66;262;18;N;535;258;0.0
105;4.0;3.05;8.5;4.75;245;18;N;520;155;0.0
106;4.0;3.48;9.19;5.03;421;18;N;527;172;0.1
107;4.0;3.17;8.65;4.83;101;18;N;532;213;0.0
108;4.0;3.48;9.19;5.03;421;18;N;527;172;0.1
109;4.0;3.03;8.43;4.68;534;18;N;526;172;0.0
110;4.0;3.2;8.77;4.75;117;18;N;523;199;0.0
111;4.0;3.28;8.69;4.73;302;17;N;538;282;0.0
112;4.0;3.17;8.68;4.86;194;17;N;533;207;0.0
113;4.0;3.28;8.81;4.9;87;17;N;530;218;0.0
114;4.0;3.2;8.77;4.75;116;17;N;522;198;0.0
115;4.0;3.04;8.52;4.74;209;17;N;523;142;0.0
116;4.0;3.28;8.69;4.73;302;17;N;538;282;0.0
117;4.0;3.02;8.48;4.66;260;16;N;533;256;0.0
118;4.0;3.02;8.48;4.66;260;16;N;533;256;0.0
119;4.0;3.02;8.48;4.66;260;16;N;533;256;0.0
120;4.0;3.05;8.5;4.75;243;16;N;518;153;0.0
121;4.0;3.21;8.85;4.9;151;16;N;518;169;0.0
122;4.0;3.48;9.19;5.03;419;16;N;525;170;0.0
123;4.0;3.25;8.81;4.82;91;16;N;529;312;0.0
124;4.0;3.05;8.5;4.75;243;16;N;518;153;0.0
125;4.0;3.03;8.43;4.68;531;15;N;523;169;0.0
126;4.0;3.21;8.85;4.9;150;15;N;517;168;0.0
127;4.0;3.21;8.82;4.85;147;15;N;533;224;0.0
128;4.0;3.26;8.9;4.9;136;15;N;517;119;0.01
129;4.0;3.24;8.84;4.87;95;14;N;527;218;0.0
130;4.0;3.32;8.95;4.94;159;14;N;520;149;0.0
131;4.0;3.48;9.19;5.03;417;14;N;523;168;0.0
132;4.0;3.25;8.81;4.82;89;14;N;527;310;0.0
133;4.0;3.17;8.65;4.83;96;13;N;527;208;0.0
134;4.0;3.2;8.77;4.75;112;13;N;518;194;0.0
135;4.0;3.25;8.81;4.82;88;13;N;526;309;0.0
136;4.0;3.21;8.82;4.85;145;13;N;531;222;0.0
137;4.0;3.32;8.95;4.94;158;13;N;519;148;0.0
138;4.0;3.47;9.24;5.06;295;13;N;528;174;0.0
139;4.0;3.26;8.81;4.96;114;13;N;531;261;0.0
140;4.0;3.18;8.83;4.81;88;13;N;530;220;0.0
141;4.0;3.24;8.67;4.9;239;12;N;529;201;0.0
142;4.0;3.19;8.71;4.83;111;12;N;532;158;0.0
143;4.0;3.48;9.19;5.03;415;12;N;521;166;0.0
144;4.0;3.19;8.71;4.83;111;12;N;532;158;0.0
145;4.0;3.37;9.04;4.85;474;12;N;528;199;0.0
146;4.0;3.02;8.48;4.66;256;12;N;529;252;0.0
147;4.0;3.12;8.73;4.68;133;12;N;529;219;0.27
148;4.0;3.35;8.67;4.89;243;11;N;522;229;0.0
149;4.0;3.24;8.8;4.86;139;11;N;533;155;0.0
150;4.0;3.18;8.83;4.81;86;11;N;528;218;0.0
151;4.0;3.28;8.85;4.87;80;11;N;525;132;0.01
152;4.0;3.26;8.98;4.98;199;11;N;533;158;0.0
153;4.0;3.24;8.71;4.93;256;10;N;506;149;0.0
154;4.0;3.26;8.86;4.92;85;10;N;525;213;0.0
155;4.0;3.28;8.85;4.87;79;10;N;524;131;0.0
156;4.0;3.18;8.78;4.75;89;9;N;521;210;0.0
157;4.0;3.18;8.83;4.81;84;9;N;526;216;0.0
158;4.0;3.14;8.7;4.74;112;9;N;525;196;0.0
159;4.0;3.28;8.85;4.87;77;8;N;522;129;0.0
160;4.0;3.51;9.22;5.08;405;8;N;522;167;0.0
161;4.0;3.51;9.22;5.08;404;7;N;521;166;0.0
162;4.0;3.24;8.84;4.87;88;7;N;520;211;0.0
163;4.0;3.24;8.84;4.87;88;7;N;520;211;0.0
164;4.0;3.04;8.49;4.72;364;7;N;526;194;0.0
165;4.0;3.18;8.78;4.75;86;6;N;518;207;0.0
166;4.0;3.24;8.84;4.87;86;5;N;518;209;0.0
167;1.85;3.17;8.83;4.76;148;12;N;521;131;0.0
168;1.86;3.18;8.84;4.77;147;11;N;520;130;0.0
169;1.88;3.2;8.86;4.79;149;13;N;522;132;0.0
170;1.88;3.2;8.86;4.79;147;11;N;520;130;0.0
171;1.89;3.21;8.87;4.8;149;13;N;522;132;0.0
172;1.89;3.21;8.87;4.8;147;11;N;520;130;0.0
173;1.91;3.23;8.89;4.82;148;12;N;521;131;0.0
174;1.91;3.23;8.89;4.82;148;12;N;521;131;0.0
175;1.91;3.23;8.89;4.82;147;11;N;520;130;0.0
176;1.91;3.23;8.89;4.82;146;10;N;519;129;0.0
177;1.91;3.23;8.89;4.82;146;10;N;519;129;0.0
178;1.91;3.23;8.89;4.82;144;8;N;517;127;0.0
179;1.92;3.24;8.9;4.83;147;11;N;520;130;0.0
180;1.92;3.24;8.9;4.83;146;10;N;519;129;0.0
181;1.93;3.25;8.91;4.84;149;13;N;522;132;0.0
182;1.93;3.25;8.91;4.84;147;11;N;520;130;0.0
183;1.93;3.25;8.91;4.84;147;11;N;520;130;0.0
184;1.93;3.25;8.91;4.84;147;11;N;520;130;0.0
185;1.93;3.25;8.91;4.84;146;10;N;519;129;0.0
186;1.94;3.26;8.92;4.85;148;12;N;521;131;0.0
187;1.94;3.26;8.92;4.85;147;11;N;520;130;0.0
188;1.94;3.26;8.92;4.85;146;10;N;519;129;0.0
189;1.95;3.27;8.93;4.86;147;11;N;520;130;0.0
190;1.95;3.27;8.93;4.86;144;8;N;517;127;0.0
191;1.96;3.28;8.94;4.87;147;11;N;520;130;0.0
192;1.98;3.3;8.96;4.89;149;13;N;522;132;0.0
193;1.98;3.3;8.96;4.89;147;11;N;520;130;0.0
194;1.98;3.3;8.96;4.89;145;9;N;518;128;0.0
195;1.99;3.31;8.97;4.9;145;9;N;518;128;0.0
196;1.99;3.31;8.97;4.9;143;7;N;516;126;0.0
197;2.01;3.33;8.99;4.92;146;10;N;519;129;0.0
198;2.07;3.39;9.05;4.98;145;9;N;518;128;0.0
199;3.07;2.98;8.51;4.6;153;29;N;530;218;0.0
200;3.13;3.04;8.57;4.66;153;29;N;530;218;0.0
201;3.14;3.05;8.58;4.67;155;31;N;532;220;0.0
202;3.15;3.06;8.59;4.68;154;30;N;531;219;0.0
203;3.15;3.06;8.59;4.68;152;28;N;529;217;0.0
204;3.15;3.06;8.59;4.68;148;24;N;525;213;0.0
205;3.16;3.07;8.6;4.69;152;28;N;529;217;0.0
206;3.17;3.08;8.61;4.7;156;32;N;533;221;0.0
207;3.17;3.08;8.61;4.7;154;30;N;531;219;0.0
208;3.17;3.08;8.61;4.7;152;28;N;529;217;0.0
209;3.18;3.09;8.62;4.71;153;29;N;530;218;0.0
210;3.18;3.09;8.62;4.71;153;29;N;530;218;0.0
211;3.18;3.09;8.62;4.71;153;29;N;530;218;0.0
212;3.18;3.09;8.62;4.71;151;27;N;528;216;0.0
213;3.18;3.09;8.62;4.71;149;25;N;526;214;0.0
214;3.19;3.1;8.63;4.72;156;32;N;533;221;0.0
215;3.19;3.1;8.63;4.72;154;30;N;531;219;0.0
216;3.19;3.1;8.63;4.72;152;28;N;529;217;0.0
217;3.19;3.1;8.63;4.72;151;27;N;528;216;0.0
218;3.19;3.1;8.63;4.72;150;26;N;527;215;0.0
219;3.2;3.11;8.64;4.73;154;30;N;531;219;0.0
220;3.2;3.11;8.64;4.73;154;30;N;531;219;0.0
221;3.2;3.11;8.64;4.73;152;28;N;529;217;0.0
222;3.2;3.11;8.64;4.73;152;28;N;529;217;0.0
223;3.2;3.11;8.64;4.73;151;27;N;528;216;0.0
224;3.2;3.11;8.64;4.73;151;27;N;528;216;0.0
225;3.2;3.11;8.64;4.73;151;27;N;528;216;0.0
226;3.21;3.12;8.65;4.74;153;29;N;530;218;0.0
227;3.21;3.12;8.65;4.74;151;27;N;528;216;0.0
228;3.21;2.97;8.56;4.63;106;13;N;525;147;0.0
229;3.22;3.13;8.66;4.75;156;32;N;533;221;0.0
230;3.22;3.13;8.66;4.75;152;28;N;529;217;0.0
231;3.23;2.73;8.17;4.46;105;48;N;525;135;0.0
232;3.23;3.14;8.67;4.76;152;28;N;529;217;0.0
233;3.23;3.14;8.67;4.76;152;28;N;529;217;0.0
234;3.23;3.14;8.67;4.76;149;25;N;526;214;0.0
235;3.23;2.91;8.44;4.59;298;10;N;524;193;0.0
236;3.24;2.74;8.18;4.47;103;46;N;523;133;0.0
237;3.24;2.74;8.18;4.47;103;46;N;523;133;0.0
238;3.24;3.15;8.68;4.77;155;31;N;532;220;0.0
239;3.24;3.15;8.68;4.77;152;28;N;529;217;0.0
240;3.24;3.15;8.68;4.77;150;26;N;527;215;0.0
241;3.24;3.0;8.59;4.66;107;14;N;526;148;0.0
242;3.25;2.75;8.19;4.48;106;49;N;526;136;0.0
243;3.25;2.75;8.19;4.48;105;48;N;525;135;0.0
244;3.25;3.16;8.69;4.78;154;30;N;531;219;0.0
245;3.25;3.01;8.6;4.67;104;11;N;523;145;0.0
246;3.26;3.17;8.7;4.79;152;28;N;529;217;0.0
247;3.26;3.02;8.61;4.68;103;10;N;522;144;0.0
248;3.27;2.77;8.21;4.5;103;46;N;523;133;0.0
249;3.27;3.14;8.71;4.61;798;30;N;522;182;0.0
250;3.27;3.18;8.71;4.8;151;27;N;528;216;0.0
251;3.27;3.18;8.71;4.8;148;24;N;525;213;0.0
252;3.27;2.95;8.46;4.76;214;17;N;527;116;0.0
253;3.27;2.95;8.46;4.76;209;12;N;522;111;0.0
254;3.27;3.03;8.62;4.69;104;11;N;523;145;0.0
255;3.28;2.78;8.22;4.51;105;48;N;525;135;0.0
256;3.28;2.95;8.43;4.58;136;37;N;529;147;0.0
257;3.28;3.19;8.72;4.81;154;30;N;531;219;0.0
258;3.28;2.89;8.3;4.63;154;29;N;525;160;0.0
259;3.28;3.19;8.72;4.81;150;26;N;527;215;0.0
260;3.28;3.05;8.68;4.6;427;18;N;527;162;0.0
261;3.28;2.96;8.47;4.77;212;15;N;525;114;0.0
262;3.28;3.04;8.63;4.7;104;11;N;523;145;0.0
263;3.28;2.96;8.47;4.77;208;11;N;521;110;0.0
264;3.29;2.79;8.23;4.52;104;47;N;524;134;0.0
265;3.29;2.79;8.23;4.52;103;46;N;523;133;0.0
266;3.29;2.79;8.23;4.52;102;45;N;522;132;0.0
267;3.29;2.9;8.31;4.64;152;27;N;523;158;0.0
268;3.29;3.2;8.73;4.82;148;24;N;525;213;0.0
269;3.29;2.86;8.41;4.61;422;23;N;535;184;0.0
270;3.29;2.97;8.48;4.78;211;14;N;524;113;0.0
271;3.29;2.97;8.48;4.78;211;14;N;524;113;0.0
272;3.29;2.97;8.48;4.78;211;14;N;524;113;0.0
273;3.29;2.97;8.48;4.78;209;12;N;522;111;0.0
274;3.29;2.84;8.39;4.59;704;12;N;524;157;0.0
275;3.29;2.81;8.42;4.72;164;11;N;532;75;0.0
276;3.29;3.05;8.64;4.71;103;10;N;522;144;0.0
277;3.29;3.1;8.63;4.59;217;8;N;523;245;0.0
278;3.29;3.05;8.65;4.59;269;5;N;520;163;0.0
279;3.29;3.06;8.6;4.57;140;4;N;518;244;0.0
280;3.3;3.05;8.6;4.58;231;59;N;525;312;0.0
281;3.3;2.97;8.45;4.6;137;38;N;530;148;0.0
282;3.3;2.86;8.34;4.58;144;34;N;524;167;0.0
283;3.3;3.21;8.74;4.83;152;28;N;529;217;0.0
284;3.3;2.99;8.59;4.69;353;19;N;525;185;0.0
285;3.3;2.98;8.49;4.79;210;13;N;523;112;0.0
286;3.3;2.98;8.49;4.79;210;13;N;523;112;0.0
287;3.3;3.06;8.65;4.72;103;10;N;522;144;0.0
288;3.3;2.95;8.51;4.67;218;9;N;522;146;0.0
289;3.31;3.06;8.61;4.59;232;60;N;526;313;0.0
290;3.31;2.85;8.39;4.59;245;40;N;517;166;0.0
291;3.31;3.22;8.75;4.84;155;31;N;532;220;0.0
292;3.31;3.22;8.75;4.84;154;30;N;531;219;0.0
293;3.31;2.73;8.26;4.51;288;30;N;510;88;0.0
294;3.31;2.92;8.33;4.66;153;28;N;524;159;0.0
295;3.31;2.76;8.19;4.53;93;16;N;524;100;0.0
296;3.31;2.99;8.5;4.8;212;15;N;525;114;0.0
297;3.31;3.12;8.65;4.61;224;15;N;530;252;0.0
298;3.31;3.07;8.66;4.73;107;14;N;526;148;0.0
299;3.31;3.13;8.66;4.66;120;14;N;527;251;0.0
300;3.31;2.99;8.5;4.8;210;13;N;523;112;0.0
301;3.31;2.99;8.52;4.67;301;13;N;527;196;0.0
302;3.31;2.99;8.52;4.67;300;12;N;526;195;0.0
303;3.31;3.07;8.66;4.73;105;12;N;524;146;0.0
304;3.31;3.07;8.66;4.73;105;12;N;524;146;0.0
305;3.31;3.07;8.66;4.73;104;11;N;523;145;0.0
306;3.31;3.07;8.66;4.73;104;11;N;523;145;0.0
307;3.31;3.07;8.66;4.73;104;11;N;523;145;0.0
308;3.31;2.86;8.41;4.61;703;11;N;523;156;0.0
309;3.31;3.07;8.66;4.73;104;11;N;523;145;0.0
310;3.31;3.07;8.66;4.73;102;9;N;521;143;0.0
311;3.31;2.96;8.52;4.68;217;8;N;521;145;0.0
312;3.32;2.82;8.26;4.55;104;47;N;524;134;0.0
313;3.32;2.86;8.4;4.6;245;40;N;517;166;0.0
314;3.32;2.93;8.34;4.67;151;26;N;522;157;0.0
315;3.32;2.93;8.34;4.67;151;26;N;522;157;0.0
316;3.32;2.95;8.39;4.68;187;15;N;525;98;0.0
317;3.32;3.0;8.51;4.81;212;15;N;525;114;0.0
318;3.32;3.13;8.66;4.62;224;15;N;530;252;0.0
319;3.32;2.95;8.39;4.68;185;13;N;523;96;0.0
320;3.32;3.08;8.67;4.74;106;13;N;525;147;0.0
321;3.32;3.06;8.77;4.68;222;13;N;532;132;0.0
322;3.32;2.84;8.45;4.75;165;12;N;533;76;0.0
323;3.32;3.08;8.67;4.74;105;12;N;524;146;0.0
324;3.32;2.95;8.39;4.68;183;11;N;521;94;0.0
325;3.32;3.08;8.67;4.74;104;11;N;523;145;0.0
326;3.32;3.08;8.67;4.74;104;11;N;523;145;0.0
327;3.32;3.0;8.53;4.68;299;11;N;525;194;0.0
328;3.32;3.0;8.53;4.68;298;10;N;524;193;0.0
329;3.32;3.08;8.67;4.74;103;10;N;522;144;0.0
330;3.32;3.08;8.67;4.74;103;10;N;522;144;0.0
331;3.32;2.95;8.39;4.68;182;10;N;520;93;0.0
332;3.32;3.14;8.67;4.67;116;10;N;523;247;0.0
333;3.32;3.09;8.63;4.6;138;2;N;516;242;0.0
334;3.33;2.83;8.27;4.56;104;47;N;524;134;0.0
335;3.33;2.87;8.41;4.61;246;41;N;518;167;0.0
336;3.33;2.87;8.41;4.61;246;41;N;518;167;0.0
337;3.33;2.89;8.37;4.61;149;39;N;529;172;0.0
338;3.33;2.94;8.35;4.68;150;25;N;521;156;0.0
339;3.33;2.94;8.35;4.68;149;24;N;520;155;0.0
340;3.33;2.88;8.52;4.66;229;22;N;538;205;0.0
341;3.33;0.84;8.43;4.53;106;21;N;527;146;0.0
342;3.33;3.1;8.73;4.65;428;19;N;528;163;0.0
343;3.33;2.78;8.21;4.55;94;17;N;525;101;0.0
344;3.33;3.01;8.52;4.82;212;15;N;525;114;0.0
345;3.33;2.96;8.4;4.69;187;15;N;525;98;0.0
346;3.33;3.09;8.68;4.75;106;13;N;525;147;0.0
347;3.33;3.09;8.68;4.75;106;13;N;525;147;0.0
348;3.33;2.96;8.4;4.69;184;12;N;522;95;0.0
349;3.33;3.09;8.68;4.75;105;12;N;524;146;0.0
350;3.33;3.09;8.68;4.75;105;12;N;524;146;0.0
351;3.33;2.96;8.4;4.69;184;12;N;522;95;0.0
352;3.33;2.88;8.43;4.63;703;11;N;523;156;0.0
353;3.33;2.88;8.43;4.63;703;11;N;523;156;0.0
354;3.33;3.08;8.74;4.73;404;11;N;526;157;0.0
355;3.33;2.88;8.43;4.63;703;11;N;523;156;0.0
356;3.33;3.09;8.68;4.75;102;9;N;521;143;0.0
357;3.34;2.84;8.28;4.57;103;46;N;523;133;0.0
358;3.34;2.84;8.28;4.57;103;46;N;523;133;0.0
359;3.34;2.84;8.28;4.57;102;45;N;522;132;0.0
360;3.34;2.84;8.28;4.57;101;44;N;521;131;0.0
361;3.34;2.88;8.42;4.62;248;43;N;520;169;0.0
362;3.34;2.88;8.42;4.62;245;40;N;517;166;0.0
363;3.34;2.88;8.42;4.62;243;38;N;515;164;0.0
364;3.34;3.01;8.47;4.59;280;25;N;516;168;0.0
365;3.34;3.02;8.53;4.83;213;16;N;526;115;0.0
366;3.34;2.99;8.55;4.71;224;15;N;528;152;0.0
367;3.34;2.99;8.55;4.71;224;15;N;528;152;0.0
368;3.34;2.89;8.44;4.64;706;14;N;526;159;0.0
369;3.34;2.98;8.52;4.64;149;13;N;528;195;0.0
370;3.34;2.97;8.41;4.7;184;12;N;522;95;0.0
371;3.34;3.1;8.69;4.76;105;12;N;524;146;0.0
372;3.34;3.09;8.75;4.74;405;12;N;527;158;0.0
373;3.34;3.1;8.69;4.76;104;11;N;523;145;0.0
374;3.34;3.1;8.69;4.76;104;11;N;523;145;0.0
375;3.34;2.97;8.41;4.7;183;11;N;521;94;0.0
376;3.34;3.03;8.57;4.69;86;11;N;523;210;0.0
377;3.34;2.97;8.65;4.63;244;11;N;527;151;0.0
378;3.34;3.02;8.55;4.7;298;10;N;524;193;0.0
379;3.34;3.1;8.69;4.76;103;10;N;522;144;0.0
380;3.34;2.99;8.55;4.71;219;10;N;523;147;0.0
381;3.34;2.85;8.2;4.51;143;9;N;524;147;0.0
382;3.35;2.85;8.29;4.58;100;43;N;520;130;0.0
383;3.35;2.89;8.43;4.63;246;41;N;518;167;0.0
384;3.35;2.85;8.29;4.58;98;41;N;518;128;0.0
385;3.35;2.91;8.39;4.63;145;35;N;525;168;0.0
386;3.35;2.93;8.46;4.6;453;33;N;518;127;0.0
387;3.35;2.91;8.39;4.63;142;32;N;522;165;0.0
388;3.35;2.91;8.39;4.63;142;32;N;522;165;0.0
389;3.35;3.22;8.79;4.69;798;30;N;522;182;0.0
390;3.35;2.96;8.37;4.7;149;24;N;520;155;0.0
391;3.35;2.91;8.55;4.67;272;24;N;530;126;0.0
392;3.35;2.92;8.47;4.67;420;21;N;533;182;0.0
393;3.35;3.03;8.54;4.84;214;17;N;527;116;0.0
394;3.35;3.03;8.54;4.84;214;17;N;527;116;0.0
395;3.35;2.9;8.45;4.65;708;16;N;528;161;0.0
396;3.35;3.03;8.54;4.84;213;16;N;526;115;0.0
397;3.35;3.03;8.54;4.84;213;16;N;526;115;0.0
398;3.35;3.03;8.54;4.84;212;15;N;525;114;0.0
399;3.35;3.03;8.54;4.84;212;15;N;525;114;0.0
400;3.35;2.9;8.45;4.65;706;14;N;526;159;0.0
401;3.35;2.9;8.45;4.65;706;14;N;526;159;0.0
402;3.35;3.03;8.56;4.71;302;14;N;528;197;0.0
403;3.35;3.03;8.54;4.84;211;14;N;524;113;0.0
404;3.35;3.0;8.56;4.72;222;13;N;526;150;0.0
405;3.35;2.9;8.45;4.65;704;12;N;524;157;0.0
406;3.35;2.9;8.45;4.65;704;12;N;524;157;0.0
407;3.35;3.03;8.56;4.71;300;12;N;526;195;0.0
408;3.35;3.11;8.7;4.77;105;12;N;524;146;0.0
409;3.35;3.11;8.7;4.77;104;11;N;523;145;0.0
410;3.35;2.98;8.42;4.71;182;10;N;520;93;0.0
411;3.35;3.0;8.56;4.72;217;8;N;521;145;0.0
412;3.35;3.11;8.7;4.77;101;8;N;520;142;0.0
413;3.35;2.87;8.48;4.78;160;7;N;528;71;0.0
414;3.35;3.12;8.66;4.63;142;6;N;520;246;0.0
415;3.36;3.11;8.66;4.64;233;61;N;527;314;0.0
416;3.36;3.11;8.66;4.64;231;59;N;525;312;0.0
417;3.36;2.86;8.3;4.59;102;45;N;522;132;0.0
418;3.36;3.03;8.51;4.66;136;37;N;529;147;0.0
419;3.36;3.03;8.51;4.66;135;36;N;528;146;0.0
420;3.36;2.94;8.47;4.61;455;35;N;520;129;0.0
421;3.36;2.94;8.47;4.61;455;35;N;520;129;0.0
422;3.36;3.03;8.51;4.66;133;34;N;526;144;0.0
423;3.36;2.92;8.4;4.64;144;34;N;524;167;0.0
424;3.36;2.94;8.47;4.61;453;33;N;518;127;0.0
425;3.36;3.03;8.51;4.66;131;32;N;524;142;0.0
426;3.36;2.78;8.31;4.56;288;30;N;510;88;0.0
427;3.36;2.78;8.31;4.56;288;30;N;510;88;0.0
428;3.36;3.03;8.49;4.61;285;30;N;521;173;0.0
429;3.36;2.78;8.31;4.56;287;29;N;509;87;0.0
430;3.36;3.03;8.49;4.61;283;28;N;519;171;0.0
